,Semiconductors_CPUs_GPUs,Big_Tech_Cloud_Platforms,Banking_Capital_Markets,Defense_Aerospace,Biotech_Pharmaceuticals,Medical_Devices_Diagnostics,Green_Energy_Storage,Oil_Gas_Commodities,Agriculture_Fertilizers_Chemicals,Metals_Mining_Critical_Minerals,Industrial_Machinery_Autos,Luxury_Goods_Retail,Real_Estate_REITs,Telecommunications_Connectivity,Fintech_Payments,Entertainment_Gaming_Streaming,Climate_Extreme_Weather_Insurance
NVDA,0.38035687804222107,0.2678065896034241,0.0,0.18789316713809967,0.0,0.15567971765995026,0.1560928374528885,0.0,0.0,0.0,0.21840491890907288,0.0,0.0,0.0,0.0,0.0,0.0
AMD,0.5702986121177673,0.24215418100357056,0.0,0.27054983377456665,0.17075565457344055,0.2542852461338043,0.19884401559829712,0.0,0.0,0.0,0.24311648309230804,0.0,0.0,0.0,0.0,0.0,0.0
ASML,0.3930774927139282,0.0,0.0,0.0,0.0,0.24291814863681793,0.16103164851665497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSM,0.45419153571128845,0.0,0.0,0.0,0.0,0.20924532413482666,0.0,0.0,0.0,0.0,0.0,0.163717120885849,0.0,0.0,0.0,0.0,0.0
MSFT,0.19562499225139618,0.3979080319404602,0.0,0.20354683697223663,0.0,0.0,0.17656609416007996,0.0,0.0,0.0,0.0,0.23914334177970886,0.21433117985725403,0.18379123508930206,0.0,0.2224598228931427,0.0
GOOGL,0.2205844521522522,0.4041166603565216,0.0,0.1895316243171692,0.16717159748077393,0.0,0.0,0.0,0.0,0.0,0.1843048483133316,0.15765991806983948,0.0,0.18018876016139984,0.0,0.17667752504348755,0.0
META,0.0,0.19641393423080444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,0.0,0.0,0.0,0.0,0.39418211579322815,0.4666329622268677,0.0,0.0,0.0,0.0,0.0,0.2592417895793915,0.0,0.0,0.0,0.0,0.0
PFE,0.0,0.0,0.0,0.0,0.5836461782455444,0.30969294905662537,0.0,0.0,0.0,0.0,0.0,0.18418829143047333,0.0,0.0,0.0,0.0,0.0
LLY,0.0,0.0,0.0,0.0,0.578906774520874,0.31154271960258484,0.0,0.0,0.0,0.0,0.0,0.1687164604663849,0.0,0.0,0.0,0.0,0.0
MRK,0.0,0.0,0.0,0.0,0.49557217955589294,0.3533931076526642,0.0,0.0,0.17226088047027588,0.0,0.0,0.2163296490907669,0.0,0.0,0.0,0.0,0.0
ABBV,0.0,0.0,0.0,0.0,0.4921778440475464,0.3520640432834625,0.0,0.0,0.0,0.0,0.0,0.1622130125761032,0.0,0.0,0.0,0.0,0.0
DE,0.16250896453857422,0.0,0.0,0.17910298705101013,0.0,0.15894995629787445,0.1565493941307068,0.22185669839382172,0.35830941796302795,0.0,0.26009994745254517,0.0,0.0,0.0,0.0,0.0,0.0
CAT,0.21858689188957214,0.15921801328659058,0.17020240426063538,0.19479793310165405,0.0,0.1689257174730301,0.17517225444316864,0.25645875930786133,0.24236099421977997,0.20463410019874573,0.2984655499458313,0.1866992861032486,0.18173536658287048,0.0,0.159107968211174,0.0,0.0
AGCO,0.19556252658367157,0.1684814691543579,0.0,0.1668514460325241,0.15253901481628418,0.2278081178665161,0.19662977755069733,0.22089658677577972,0.46771734952926636,0.15281568467617035,0.33300521969795227,0.1884593367576599,0.1757287234067917,0.19046273827552795,0.0,0.0,0.0
CMI,0.2039446383714676,0.0,0.0,0.0,0.0,0.0,0.20928020775318146,0.230820432305336,0.0,0.0,0.35672301054000854,0.0,0.0,0.0,0.0,0.0,0.0
CF,0.0,0.0,0.0,0.0,0.0,0.0,0.22793477773666382,0.29748740792274475,0.3431166708469391,0.16777868568897247,0.19248484075069427,0.1581791490316391,0.17858688533306122,0.0,0.0,0.0,0.15820223093032837
NTR,0.0,0.0,0.0,0.0,0.0,0.0,0.18241192400455475,0.0,0.4058268666267395,0.0,0.0,0.15942248702049255,0.0,0.0,0.0,0.0,0.0
FSLR,0.0,0.0,0.0,0.0,0.0,0.0,0.2651224136352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENPH,0.0,0.0,0.0,0.0,0.0,0.0,0.4241885542869568,0.0,0.0,0.0,0.22694402933120728,0.0,0.0,0.1558241844177246,0.0,0.0,0.0
NEE,0.0,0.15611840784549713,0.0,0.19580653309822083,0.0,0.0,0.39025309681892395,0.254952996969223,0.15297511219978333,0.0,0.24933017790317535,0.0,0.24398435652256012,0.2642701268196106,0.0,0.0,0.2208528071641922
